623039,5731.7,5704.758646077851,3058,1568,19300,4589,3673,1065,1924,12601,1164,8375
634063,3254.8,2547.4643000442616,346,4778,1552,1244,1466,2798,8562,2648,2155,6999
550051,16506.1,13038.505684701757,16841,2200,7003,17008,6990,17031,39160,6285,10374,42169
901543,720.7,672.7229816202209,607,82,147,337,852,87,690,793,2457,1155
655411,1332.8,1137.6116033163514,1576,1049,949,401,3980,2834,1168,788,419,164
585161,2673.6,1331.040735665141,823,4889,4219,3100,1377,1651,4157,1969,1543,3008
753343,4127.4,3024.0809909789123,325,1783,587,6006,7958,3891,1783,8453,7890,2598
838637,194.6,261.03723872275384,46,40,60,41,135,238,163,946,229,48
861103,1039.8,683.0750764008302,1328,754,376,2553,697,662,482,1238,1907,401
574841,6036.3,6330.23426185793,5094,3979,1821,8275,23107,3374,1745,9913,1197,1858
641119,3002.0,904.4911276513441,3848,2909,1762,2337,4962,2569,2890,2087,3767,2889
1026169,153.6,118.46028870469631,135,239,115,441,126,240,41,123,34,42
680429,9182.2,7821.587355518061,367,18221,5846,9743,10280,26352,4284,2145,1624,12960
531389,2226.3,1524.73250440856,993,209,3577,3261,448,4491,3389,1755,513,3627
619747,3102.5,2841.168852778729,5998,5847,4093,86,150,3547,1631,8607,799,267
563539,7119.0,6243.5189436727105,23142,4403,8954,8110,2203,4673,528,9261,9071,845
543731,3585.6,3470.486801588503,968,5281,300,2855,2370,5402,1326,1143,12725,3486
892961,422.6,342.3270950421541,806,247,129,255,285,250,243,1301,260,450
670697,4282.7,3984.8174123791414,2332,3527,458,5561,9187,2251,2184,13725,3231,371
868183,202.7,124.881583910519,139,270,96,157,540,113,97,185,227,203
698549,3039.7,1890.3501289443711,757,533,6311,1686,4036,5001,2816,1055,3542,4660
792347,6279.9,5102.522287065486,9714,3212,5927,13121,414,341,11026,14023,4924,97
735047,3449.7,2371.2270262461166,2204,3502,3514,6247,1401,1161,8927,768,3064,3709
705511,1180.0,1091.3207594470107,1108,228,3829,609,2545,1071,1110,233,388,679
554881,23151.5,18355.414782837244,51892,8926,7876,5638,3870,42276,49682,6262,23334,31759
555329,6741.7,7399.892743141619,26677,226,9605,6518,9611,510,6247,3969,1961,2093
848329,853.2,1283.819909488866,640,403,82,301,4467,125,139,237,452,1686
778207,554.8,459.8579780758403,1168,369,927,286,130,1514,462,132,445,115
534197,5723.3,5310.508357021953,13388,12042,157,4033,1963,168,14557,6141,961,3823
626047,1446.0,1141.8361528695787,242,3692,1293,138,883,499,2697,1265,2778,973
842603,1037.5,836.6145169670438,848,995,573,2994,200,1105,2164,658,549,289
760013,1142.1,839.8537313127804,2556,106,264,738,2110,1540,730,99,1955,1323
716141,1658.3,1454.6238036000923,1628,871,4831,305,1736,851,1986,3724,493,158
