143959,8791.72,9430.280280118932,21658,5404,4945,3396,6205,1581,10776,773,3912,12586,11712,8890,1733,4721,1396,41565,2891,2634,15253,16000,3313,1464,16294,2128,3717,2075,33996,1570,2302,11496,16777,2430,15194,533,1750,9472,1491,7554,4980,8138,9090,24729,2901,38025,5920,9322,5133,17636,82,2043
212521,3362.44,3441.3944508585473,595,430,3215,868,2134,2538,4487,699,696,5436,2482,1408,14778,1329,7624,7790,5797,1369,10820,3104,897,5199,201,3652,4347,3074,1990,1411,5432,171,903,11773,903,2940,1570,2359,3274,1189,2930,198,3545,2093,345,2711,1953,3851,15189,2209,3632,582
212603,641.5,597.3422218460704,845,1132,1148,329,469,572,573,390,1560,132,610,81,83,136,971,607,768,252,63,1169,758,126,87,194,783,1411,737,133,599,150,1068,390,1113,549,134,79,907,1088,894,3306,242,86,1822,297,123,162,1556,319,94,978
143369,4043.2,3795.058070701949,6337,6421,4157,5092,6399,423,6402,14282,492,6764,4770,15904,959,3748,4908,2861,716,5915,437,957,1198,2650,2334,679,3301,791,891,6520,3015,9114,421,1392,1552,1006,2300,8186,1744,722,6362,292,13118,2214,1264,10315,133,7899,7420,707,5862,814
176993,2915.92,2859.7360426444952,2455,1637,2451,3572,5489,1569,4493,424,3660,1564,2467,1734,3550,527,905,2690,6884,952,1947,440,3880,4187,5829,1961,771,888,922,16032,1537,1262,3818,2404,2553,2579,3641,1496,89,896,11356,608,3281,1284,2632,4299,440,2111,1362,8133,481,5654
237703,134.94,123.18496823882369,160,76,196,794,431,281,98,146,74,75,329,79,78,302,200,89,77,78,88,81,81,78,82,82,105,222,227,75,92,82,75,82,31,97,93,91,85,97,123,71,25,146,80,78,238,73,154,86,78,86
132271,2502.3,2275.6414502289235,4438,2498,174,300,3293,10280,4660,726,361,2216,1648,1480,9426,4815,360,288,821,415,2241,1284,1876,1463,2508,768,1633,1530,2220,1338,5924,349,2341,3065,1080,2234,9103,665,2546,4067,1405,1154,3004,1081,4977,1650,1546,1311,3839,1686,4789,2239
157033,3842.68,3816.2127689110835,7866,5179,2491,7185,1017,16689,538,2078,9968,1267,1386,4775,3319,317,2319,194,4818,1279,2643,7386,2465,264,872,6937,3395,5485,1577,1939,476,4879,7171,4586,962,2206,1151,6122,854,646,7061,4491,7422,469,3765,4627,3051,1265,2896,2922,143,19321
205193,691.78,539.7512497438056,1116,29,1815,246,1408,1231,415,5,1057,492,235,40,908,22,1165,499,700,1008,522,480,429,137,479,412,540,643,192,186,849,1049,274,1772,1630,452,408,743,668,926,1108,1278,333,540,51,405,1307,508,194,934,153,2596
220817,327.02,262.7909808193576,209,205,326,732,304,111,147,201,805,91,613,121,95,479,108,737,575,275,437,1005,557,139,146,180,119,161,111,851,266,287,175,473,122,185,168,555,211,139,184,108,437,152,68,427,480,296,1246,318,90,124
